open,high,low,close
0.99694,1.00005,0.9949,0.99606
0.99606,0.99788,0.99585,0.99726
0.99725,0.9977,0.99627,0.99654
0.99654,0.99746,0.99621,0.99623
0.99623,0.99912,0.99465,0.9989
0.9989,1.00328,0.99858,1.00327
1.00327,1.00896,0.99754,0.99797
0.99797,0.9983,0.99564,0.99613
0.99623,0.99638,0.99285,0.99302
0.99303,0.99377,0.99146,0.99164
0.99164,0.99505,0.9914,0.99382
0.99382,1.00291,0.99379,1.00086
1.00086,1.0027,0.99811,1.00144
1.00145,1.00226,0.99897,0.99963
0.99964,1.00133,0.99956,1.00055
1.00055,1.00106,0.99819,0.99996
0.99996,1.0034,0.99824,1.00245
1.0025,1.00547,1.00084,1.0011
1.0011,1.00414,0.99823,1.00236
1.00236,1.00314,1.00102,1.00151
1.00145,1.00345,1.00131,1.00274
1.00274,1.00446,1.00166,1.00399
1.00399,1.00459,0.99741,0.99796
0.99796,1.00181,0.99712,1.00082
1.00082,1.0079,0.9995,1.00532
1.00532,1.00572,1.00354,1.0053
1.00522,1.00543,1.00201,1.00232
1.00232,1.00318,1.0009,1.00141
1.00141,1.00487,1.00077,1.00368
1.00368,1.00468,0.99858,0.99884
0.99885,0.99996,0.99107,0.99368
0.99368,0.99602,0.99355,0.99457
0.9945,0.99586,0.99425,0.9956
0.9956,0.99673,0.99535,0.99666
0.99666,0.99961,0.99639,0.99729
0.99729,1.00294,0.99679,1.00101
1.00102,1.00335,0.99619,0.99694
0.99694,0.9973,0.99451,0.99501
0.99277,0.99334,0.9903,0.99156
0.99156,0.99246,0.99006,0.99052
0.99051,0.99371,0.98778,0.99109
0.99109,0.99439,0.99068,0.99235
0.99235,0.99349,0.99178,0.99293
0.99293,0.99358,0.99276,0.99289
0.99276,0.99691,0.99217,0.99683
0.99683,0.99708,0.99426,0.99462
0.99463,0.99862,0.99447,0.99579
0.99579,0.99602,0.98991,0.99006
0.99007,0.99289,0.98639,0.99086
0.99085,0.99117,0.98954,0.99048
0.99046,0.99057,0.98832,0.98904
0.98903,0.98964,0.98772,0.98929
0.98931,0.99298,0.98873,0.99073
0.99073,0.99144,0.98757,0.98929
0.98928,0.99755,0.98836,0.99732
0.99732,1.00108,0.9971,1.00059
1.00063,1.00128,0.99828,0.99851
0.99851,0.99945,0.99791,0.99897
0.99897,1.00148,0.99759,0.99976
0.99976,1.00294,0.99849,0.99998
0.99991,1.00013,0.99305,0.99687
0.99688,0.99998,0.99644,0.99979
0.99972,1.00509,0.99949,1.0044
1.0044,1.00842,1.00439,1.00723
1.00722,1.01134,1.00584,1.01065
1.01066,1.01072,1.00345,1.00444
1.00444,1.00625,1.0032,1.0054
1.0054,1.00551,1.00344,1.00453
1.00939,1.00941,1.00598,1.00703
1.00702,1.00952,1.0069,1.00779
1.00778,1.01977,1.00775,1.01915
1.01915,1.01915,1.01291,1.01415
1.01415,1.01441,1.01044,1.01439
1.0144,1.01443,1.01108,1.0121
1.01211,1.01464,1.01126,1.01349
1.01349,1.01379,1.01196,1.01282
1.01282,1.01562,1.01269,1.01546
1.01546,1.0187,1.00299,1.00374
1.0037,1.00427,0.99892,0.99983
0.99981,1.00062,0.99661,0.99664
0.99666,0.99832,0.99545,0.99788
0.99788,1.00008,0.99715,0.99951
0.99952,1.001,0.99594,0.99905
0.99907,1.00236,0.99799,0.99976
0.99976,1.00083,0.99705,0.99973
0.99973,0.99997,0.9969,0.99777
0.99765,0.99845,0.99716,0.99755
0.99755,0.99824,0.99664,0.99681
