datetime	Open	High	Low	Close
2021.06.17 00:00	1.19916	1.20045	1.18897	1.19008
2021.06.18 00:00	1.19034	1.19212	1.18436	1.18584
2021.06.21 00:00	1.18541	1.19197	1.18459	1.19099
2021.06.22 00:00	1.19134	1.19508	1.18791	1.19315
2021.06.23 00:00	1.19342	1.19683	1.19096	1.19200
2021.06.24 00:00	1.19231	1.19545	1.19159	1.19263
2021.06.25 00:00	1.19286	1.19733	1.19244	1.19327
2021.06.28 00:00	1.19343	1.19428	1.19004	1.19185
2021.06.29 00:00	1.19192	1.19282	1.18758	1.18906
2021.06.30 00:00	1.18927	1.19072	1.18433	1.18511
2021.07.01 00:00	1.18531	1.18824	1.18355	1.18444
2021.07.02 00:00	1.18462	1.18735	1.18056	1.18599
2021.07.05 00:00	1.18613	1.18799	1.18502	1.18587
2021.07.06 00:00	1.18589	1.18945	1.18055	1.18187
2021.07.07 00:00	1.18202	1.18352	1.17803	1.17858
2021.07.08 00:00	1.17958	1.18683	1.17822	1.18366
2021.07.09 00:00	1.18388	1.18812	1.18241	1.18710
2021.07.12 00:00	1.18727	1.18803	1.18352	1.18535
2021.07.13 00:00	1.18588	1.18746	1.17706	1.17726
2021.07.14 00:00	1.17726	1.18388	1.17705	1.18348
2021.07.15 00:00	1.18345	1.18507	1.17952	1.18087
2021.07.16 00:00	1.18051	1.18214	1.17912	1.18030
2021.07.19 00:00	1.18056	1.18237	1.17627	1.17964
2021.07.20 00:00	1.17975	1.18019	1.17541	1.17772
2021.07.21 00:00	1.17772	1.18044	1.17508	1.17925
2021.07.22 00:00	1.17925	1.18297	1.17562	1.17661
2021.07.23 00:00	1.17608	1.17856	1.17533	1.17687
2021.07.26 00:00	1.17688	1.18166	1.17623	1.17970
2021.07.27 00:00	1.18003	1.18411	1.17689	1.18121
2021.07.28 00:00	1.18143	1.18489	1.17711	1.18406
2021.07.29 00:00	1.18422	1.18938	1.18378	1.18830
2021.07.30 00:00	1.18849	1.19097	1.18507	1.18657
2021.08.02 00:00	1.18655	1.18971	1.18584	1.18645
2021.08.03 00:00	1.18665	1.18928	1.18532	1.18592
2021.08.04 00:00	1.18592	1.19003	1.18315	1.18315
2021.08.05 00:00	1.18343	1.18565	1.18271	1.18279
2021.08.06 00:00	1.18292	1.18344	1.17522	1.17572
2021.08.09 00:00	1.17601	1.17670	1.17329	1.17331
2021.08.10 00:00	1.17307	1.17406	1.17077	1.17126
2021.08.11 00:00	1.17143	1.17523	1.17038	1.17336
2021.08.12 00:00	1.17336	1.17466	1.17219	1.17274
2021.08.13 00:00	1.17274	1.18056	1.17274	1.17917
2021.08.16 00:00	1.17948	1.18018	1.17666	1.17726
2021.08.17 00:00	1.17762	1.17839	1.17042	1.17042
2021.08.18 00:00	1.17058	1.17410	1.16921	1.17046
2021.08.19 00:00	1.17065	1.17139	1.16638	1.16713
2021.08.20 00:00	1.16729	1.17028	1.16622	1.16953
2021.08.23 00:00	1.16950	1.17508	1.16867	1.17412
2021.08.24 00:00	1.17433	1.17658	1.17268	1.17562
2021.08.25 00:00	1.17544	1.17755	1.17262	1.17684
2021.08.26 00:00	1.17698	1.17799	1.17468	1.17481
2021.08.27 00:00	1.17503	1.18026	1.17344	1.17933
2021.08.30 00:00	1.17956	1.18105	1.17829	1.17929
2021.08.31 00:00	1.17950	1.18467	1.17942	1.18050
2021.09.01 00:00	1.18063	1.18583	1.17937	1.18358
2021.09.02 00:00	1.18377	1.18775	1.18354	1.18761
2021.09.03 00:00	1.18747	1.19104	1.18670	1.18787
2021.09.06 00:00	1.18773	1.18877	1.18567	1.18663
2021.09.07 00:00	1.18685	1.18864	1.18367	1.18367
2021.09.08 00:00	1.18369	1.18516	1.18010	1.18138
2021.09.09 00:00	1.18138	1.18412	1.18043	1.18209
2021.09.10 00:00	1.18222	1.18517	1.18072	1.18072
2021.09.13 00:00	1.18113	1.18165	1.17679	1.18093
2021.09.14 00:00	1.18093	1.18461	1.17993	1.18033
2021.09.15 00:00	1.18014	1.18320	1.17981	1.18119
2021.09.16 00:00	1.18136	1.18202	1.17483	1.17633
2021.09.17 00:00	1.17633	1.17882	1.17226	1.17226
2021.09.20 00:00	1.17231	1.17350	1.16977	1.17213
2021.09.21 00:00	1.17216	1.17477	1.17137	1.17209
2021.09.22 00:00	1.17209	1.17545	1.16833	1.16844
2021.09.23 00:00	1.16846	1.17499	1.16821	1.17356
2021.09.24 00:00	1.17358	1.17473	1.16992	1.17161
2021.09.27 00:00	1.17229	1.17242	1.16836	1.16927
2021.09.28 00:00	1.16931	1.17023	1.16654	1.16792
2021.09.29 00:00	1.16803	1.16891	1.15883	1.15915
2021.09.30 00:00	1.15946	1.16088	1.15616	1.15742
2021.10.01 00:00	1.15737	1.16064	1.15621	1.15901
2021.10.04 00:00	1.15937	1.16392	1.15868	1.16157
2021.10.05 00:00	1.16157	1.16212	1.15795	1.15925
2021.10.06 00:00	1.15935	1.15996	1.15282	1.15517
2021.10.07 00:00	1.15532	1.15711	1.15465	1.15470
2021.10.08 00:00	1.15509	1.15852	1.15403	1.15711
2021.10.11 00:00	1.15672	1.15859	1.15449	1.15449
2021.10.12 00:00	1.15497	1.15694	1.15223	1.15282
2021.10.13 00:00	1.15282	1.15965	1.15282	1.15906
2021.10.14 00:00	1.15906	1.16233	1.15831	1.15947
2021.10.15 00:00	1.15947	1.16178	1.15872	1.15968
2021.10.18 00:00	1.15967	1.16215	1.15708	1.16082
