datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask
2025-03-21 16:00:00,1.08322,1.08355,1.07969,1.08225,0.0031885714285714,38.47537908820314,-0.0009700000000001,0.0003188571428571,-1,bearish,0.0,1
2025-03-21 20:00:00,1.08225,1.08267,1.08116,1.08132,0.0031085714285714,36.73301283202429,-0.0009299999999998,0.0003108571428571,-1,bearish,0.0,1
2025-03-24 00:00:00,1.08188,1.08399,1.08159,1.0826,0.0030121428571428,40.712536731054605,0.00072,0.0003012142857142,1,bullish,1.0,1
2025-03-24 04:00:00,1.0826,1.0832,1.0817,1.08291,0.0027664285714285,41.66948005934524,0.00031,0.0002766428571428,1,bullish,1.0,1
2025-03-24 08:00:00,1.0829,1.08583,1.08281,1.08393,0.0028857142857142,44.82512319366815,0.00103,0.0002885714285714,1,bullish,1.0,1
2025-03-24 12:00:00,1.08397,1.08546,1.07925,1.07931,0.0031392857142856,35.46607554878645,-0.0046600000000001,0.0003139285714285,-1,bearish,0.0,1
2025-03-24 16:00:00,1.07929,1.08202,1.07815,1.07876,0.0029828571428571,34.54147023972189,-0.0005300000000001,0.0002982857142857,-1,bearish,0.0,1
2025-03-24 20:00:00,1.07875,1.08132,1.0784,1.08004,0.0028971428571428,38.55617362981615,0.0012899999999997,0.0002897142857142,1,bullish,1.0,1
2025-03-25 00:00:00,1.08012,1.08082,1.07944,1.08022,0.0027835714285714,39.12162787379663,9.9999999999989e-05,0.0002783571428571,0,ranging,,0
2025-03-25 04:00:00,1.08023,1.08089,1.07941,1.08029,0.0027671428571428,39.355361847268206,5.999999999994898e-05,0.0002767142857142,0,ranging,,0
2025-03-25 08:00:00,1.08029,1.08045,1.07768,1.08004,0.0028914285714285,38.78266718348893,-0.00025,0.0002891428571428,0,ranging,,0
2025-03-25 12:00:00,1.08004,1.083,1.07999,1.08172,0.0028557142857142,44.61527999676411,0.0016800000000001,0.0002855714285714,1,bullish,1.0,1
2025-03-25 16:00:00,1.0817,1.08217,1.07972,1.08095,0.0028764285714285,42.6113604978521,-0.00075,0.0002876428571428,-1,bearish,0.0,1
2025-03-25 20:00:00,1.08094,1.08094,1.07894,1.0792,0.0027614285714285,38.39092531357763,-0.00174,0.0002761428571428,-1,bearish,0.0,1
2025-03-26 00:00:00,1.07912,1.07954,1.0778,1.07935,0.0026099999999999,38.94908938033778,0.0002299999999999,0.0002609999999999,0,ranging,,0
2025-03-26 04:00:00,1.07935,1.07971,1.07778,1.07852,0.0026399999999999,36.95405316341434,-0.0008300000000001,0.0002639999999999,-1,bearish,0.0,1
2025-03-26 08:00:00,1.07852,1.08027,1.07811,1.07958,0.0026035714285714,41.10318952641147,0.00106,0.0002603571428571,1,bullish,1.0,1
2025-03-26 12:00:00,1.07958,1.08016,1.07675,1.07746,0.0027399999999999,36.00024679980832,-0.0021199999999998,0.0002739999999999,-1,bearish,0.0,1
2025-03-26 16:00:00,1.07746,1.07954,1.07519,1.07566,0.0028349999999999,32.330175055466256,-0.0018,0.0002834999999999,-1,bearish,0.0,1
2025-03-26 20:00:00,1.07566,1.07613,1.07349,1.07374,0.0025799999999999,28.940985923953164,-0.0019200000000001,0.0002579999999999,-1,bearish,0.0,1
2025-03-27 00:00:00,1.07365,1.07689,1.07324,1.07651,0.0025642857142856,38.8936099932092,0.00286,0.0002564285714285,1,bullish,1.0,1
2025-03-27 04:00:00,1.07651,1.07869,1.07636,1.07691,0.0025221428571428,40.19621281814423,0.0003999999999999,0.0002522142857142,1,bullish,1.0,1
2025-03-27 08:00:00,1.07691,1.07826,1.07541,1.07709,0.0026271428571428,40.80770061735515,0.00018,0.0002627142857142,0,ranging,,0
2025-03-27 12:00:00,1.07709,1.07995,1.07667,1.07802,0.0027557142857142,43.99401535723396,0.0009299999999998,0.0002755714285714,1,bullish,1.0,1
2025-03-27 16:00:00,1.07802,1.08211,1.07772,1.07897,0.0028714285714285,47.1251241820719,0.00095,0.0002871428571428,1,bullish,1.0,1
2025-03-27 20:00:00,1.07897,1.08023,1.07882,1.07972,0.0027571428571428,49.524333444703785,0.00075,0.0002757142857142,1,bullish,1.0,1
2025-03-28 00:00:00,1.07975,1.08011,1.07883,1.07936,0.0026735714285714,48.38933735654596,-0.0003899999999998,0.0002673571428571,-1,bearish,0.0,1
2025-03-28 04:00:00,1.07937,1.07969,1.07845,1.07909,0.0026185714285714,47.50989825195656,-0.0002799999999998,0.0002618571428571,-1,bearish,0.0,1
2025-03-28 08:00:00,1.07908,1.07999,1.07687,1.07737,0.0027171428571428,42.242942972291736,-0.0017100000000001,0.0002717142857142,-1,bearish,0.0,1
2025-03-28 12:00:00,1.07737,1.08168,1.07645,1.08106,0.0029528571428571,54.01979107275509,0.0036899999999999,0.0002952857142857,1,bullish,1.0,1
2025-03-28 16:00:00,1.08107,1.08446,1.08095,1.08195,0.0030492857142856,56.33254902416601,0.0008799999999999,0.0003049285714285,1,bullish,1.0,1
2025-03-28 20:00:00,1.08195,1.08361,1.08136,1.08288,0.0029664285714285,58.67183333430051,0.00093,0.0002966428571428,1,bullish,1.0,1
2025-03-31 00:00:00,1.0826,1.08416,1.08049,1.08416,0.0029178571428571,61.712014005196494,0.00156,0.0002917857142857,1,bullish,1.0,1
2025-03-31 04:00:00,1.08415,1.08457,1.08289,1.08341,0.0028492857142857,58.97451717857926,-0.0007399999999999,0.0002849285714285,-1,bearish,0.0,1
2025-03-31 08:00:00,1.08341,1.08493,1.08117,1.08274,0.0028571428571428,56.56073982435789,-0.0006699999999999,0.0002857142857142,-1,bearish,0.0,1
2025-03-31 12:00:00,1.08273,1.08304,1.0801,1.08035,0.0029007142857142,48.87589168584177,-0.00238,0.0002900714285714,-1,bearish,0.0,1
2025-03-31 16:00:00,1.08035,1.08214,1.07839,1.08118,0.002965,51.34809905661578,0.0008300000000001,0.0002965,1,bullish,1.0,1
2025-03-31 20:00:00,1.08117,1.08197,1.08071,1.0816,0.0028207142857143,52.59726022631702,0.0004299999999999,0.0002820714285714,1,bullish,1.0,1
2025-04-01 00:00:00,1.08177,1.08265,1.08141,1.08252,0.0025957142857143,55.30437633886364,0.00075,0.0002595714285714,1,bullish,1.0,1
2025-04-01 04:00:00,1.08251,1.08301,1.08169,1.08251,0.0025892857142857,55.2674301567002,0.0,0.0002589285714285,0,ranging,,0
2025-04-01 08:00:00,1.08251,1.08252,1.07989,1.08178,0.0026857142857142,52.50966754034124,-0.0007300000000001,0.0002685714285714,-1,bearish,0.0,1
2025-04-01 12:00:00,1.08176,1.08292,1.07783,1.07872,0.0029607142857142,42.856178624593525,-0.0030400000000001,0.0002960714285714,-1,bearish,0.0,1
2025-04-01 16:00:00,1.07872,1.08123,1.07792,1.07996,0.0029742857142857,47.10025828836532,0.0012400000000001,0.0002974285714285,1,bullish,1.0,1
2025-04-01 20:00:00,1.07998,1.08046,1.07851,1.07921,0.0027399999999999,44.926834915994206,-0.0007699999999999,0.0002739999999999,-1,bearish,0.0,1
2025-04-02 00:00:00,1.07898,1.08075,1.07888,1.07903,0.0026228571428571,44.39732539036071,4.999999999988347e-05,0.0002622857142857,0,ranging,,0
2025-04-02 04:00:00,1.07903,1.08019,1.07871,1.07925,0.0025678571428571,45.246726649842216,0.0002200000000001,0.0002567857142857,0,ranging,,0
2025-04-02 08:00:00,1.07925,1.08018,1.07802,1.07973,0.0024599999999999,47.14393608965983,0.00048,0.0002459999999999,1,bullish,1.0,1
2025-04-02 12:00:00,1.07972,1.08194,1.0786,1.08191,0.0025785714285713,54.80358880904678,0.0021899999999999,0.0002578571428571,1,bullish,1.0,1
2025-04-02 16:00:00,1.0819,1.08731,1.08147,1.08521,0.0027271428571428,63.4404707847905,0.0033099999999999,0.0002727142857142,1,bullish,1.0,1
2025-04-02 20:00:00,1.08521,1.09243,1.08107,1.08465,0.0033285714285714,61.29970007572725,-0.0005600000000001,0.0003328571428571,-1,bearish,0.0,1
2025-04-03 00:00:00,1.08454,1.09113,1.08045,1.08904,0.0038235714285714,69.88026804720442,0.0044999999999999,0.0003823571428571,1,bullish,1.0,1
2025-04-03 04:00:00,1.08906,1.09245,1.08864,1.09068,0.0040057142857142,72.34692705006672,0.0016200000000001,0.0004005714285714,1,bullish,1.0,1
2025-04-03 08:00:00,1.09068,1.1021,1.09063,1.10092,0.0047364285714285,82.16712395449512,0.0102399999999998,0.0004736428571428,1,bullish,1.0,1
2025-04-03 12:00:00,1.10092,1.11473,1.10038,1.10817,0.0056671428571428,85.96686660309497,0.0072500000000002,0.0005667142857142,1,bullish,1.0,1
2025-04-03 16:00:00,1.10818,1.1135,1.10327,1.10386,0.0062099999999999,75.647536000575,-0.0043199999999998,0.0006209999999999,-1,bearish,0.0,1
