profile,fold,row_in_fold,true_open,pred_open,resid_open_pips,abs_resid_open_pips,true_high,pred_high,resid_high_pips,abs_resid_high_pips,true_low,pred_low,resid_low_pips,abs_resid_low_pips,true_close,pred_close,resid_close_pips,abs_resid_close_pips,global_index
h4,21,35,1.1718900203704834,1.1737260295011995,-18.36009130716132,18.36009130716132,1.17235004901886,1.176181870836582,-38.318218177220146,38.318218177220146,1.1703599691390991,1.1716707494283751,-13.107802892760034,13.107802892760034,1.170830011367798,1.171896160064603,-10.661486968048806,10.661486968048806,299
h4,21,36,1.17044997215271,1.1718960382999208,-14.460661472108782,14.460661472108782,1.1713500022888184,1.1719981622241324,-6.4815993531408544,6.4815993531408544,1.1695899963378906,1.1704603724662777,-8.703761283870293,8.703761283870293,1.1696900129318235,1.170836145508383,-11.461325765595998,11.461325765595998,300
h4,21,37,1.1696900129318235,1.1704559826871628,-7.659697553392686,7.659697553392686,1.1715500354766846,1.171354324066797,1.9571140988761115,1.9571140988761115,1.1689399480819702,1.1696278696391336,-6.879215571633512,6.879215571633512,1.171489953994751,1.1696961410997997,17.938128949512855,17.938128949512855,301
h4,21,38,1.171470046043396,1.169696019563708,17.7402647968794,17.7402647968794,1.1718300580978394,1.171800162038706,0.29896059133394104,0.29896059133394104,1.168220043182373,1.168917235065121,-6.971918827478607,6.971918827478607,1.1699899435043335,1.1714960915928674,-15.061480885338874,15.061480885338874,302
h4,21,39,1.1699899435043335,1.1714760618161668,-14.861183118333177,14.861183118333177,1.1727099418640137,1.171902819260827,8.071226031867162,8.071226031867162,1.1691099405288696,1.168174707822499,9.352327063705257,9.352327063705257,1.1700400114059448,1.1699960732436872,0.43938162257672886,0.43938162257672886,303
h4,21,40,1.1700400114059448,1.1699959516764316,0.4405972951326831,0.4405972951326831,1.173069953918457,1.1726783961560332,3.915577624238331,3.915577624238331,1.1695899963378906,1.1692720715722449,3.1792476564573846,3.1792476564573846,1.170560002326965,1.170046141407611,5.138609193540145,5.138609193540145,304
h4,21,41,1.170560002326965,1.1700460198351532,5.139824918118929,5.139824918118929,1.1712199449539185,1.17302895393276,-18.090089788416197,18.090089788416197,1.1693400144577026,1.1696550811021376,-3.1506664443492483,3.1506664443492483,1.169379949569702,1.1705661350529362,-11.861854832342367,11.861854832342367,305
h4,21,42,1.1694799661636353,1.1705660134264488,-10.860472628135831,10.860472628135831,1.170699954032898,1.171009042835454,-3.0908880255609006,3.0908880255609006,1.1693600416183472,1.1692249517866558,1.3508983169141509,1.3508983169141509,1.1693899631500244,1.169386076113213,0.038870368113119724,0.038870368113119724,306
h4,21,43,1.1693899631500244,1.1694859717168804,-0.9600856685598735,0.9600856685598735,1.170259952545166,1.1706951067058111,-4.351541606451015,4.351541606451015,1.1692899465560913,1.1693029948484963,-0.13048292405004602,0.13048292405004602,1.1699299812316897,1.1693960897459978,5.3389148569182865,5.3389148569182865,307
h4,21,44,1.1699299812316897,1.169395968241083,5.340129906066249,5.340129906066249,1.1699399948120115,1.1703432084089131,-4.032135969016526,4.032135969016526,1.1683599948883057,1.1693017218224728,-9.417269341671641,9.417269341671641,1.1691900491714478,1.1699361106568924,-7.46061485444649,7.46061485444649,308
h4,21,45,1.1691800355911257,1.1699359890958672,-7.559535047414467,7.559535047414467,1.172070026397705,1.1699423859455864,21.27640452118662,21.27640452118662,1.1659899950027466,1.1682903411464092,-23.003461436625905,23.003461436625905,1.1714999675750732,1.169196174720044,23.03792855029352,23.03792855029352,309
h4,21,46,1.17153000831604,1.169186039604157,23.439687118831376,23.439687118831376,1.1746000051498413,1.1722747788352188,23.252263146225083,23.252263146225083,1.17139995098114,1.1657710068716287,56.289441095112025,56.289441095112025,1.1736400127410889,1.171506105225652,21.339075154369613,21.339075154369613,310
h4,21,47,1.1736400127410889,1.1715360243967312,21.039883443576546,21.039883443576546,1.1739399433135986,1.1748348930653885,-8.949497517898308,8.949497517898308,1.172760009765625,1.1721829907613246,5.770190043004053,5.770190043004053,1.1736400127410889,1.1736461616036609,-0.061488625719974266,0.061488625719974266,311
h4,21,48,1.173189997673035,1.1736460396571464,-4.560419841115326,4.560419841115326,1.1740000247955322,1.173704976322478,2.9504847305417137,2.9504847305417137,1.1727099418640137,1.1728527755365434,-1.4283367252976298,1.4283367252976298,1.1732900142669678,1.1736461616036609,-3.5614733669309118,3.5614733669309118,312
h4,21,49,1.1733100414276123,1.1731960222781597,1.140191494526377,1.140191494526377,1.1734399795532229,1.1738597817864171,-4.1980223319426635,4.1980223319426635,1.1720800399780271,1.1722750627961078,-1.9502281808070343,1.9502281808070343,1.1725499629974363,1.1732961612958492,-7.461982984129367,7.461982984129367,313
h4,21,50,1.1725499629974363,1.17331606664919,-7.66103651753669,7.66103651753669,1.1747599840164185,1.1734709881542826,12.889958621358222,12.889958621358222,1.1715400218963623,1.1717599132030567,-2.198913066944197,2.198913066944197,1.1717100143432615,1.1725561061490868,-8.460918058252886,8.460918058252886,314
h4,21,51,1.1717100143432615,1.1725559843158335,-8.459699725720249,8.459699725720249,1.1735199689865112,1.1750094215928133,-14.894526063020663,14.894526063020663,1.1701200008392334,1.1715723528167246,-14.52351977491162,14.52351977491162,1.1712299585342407,1.1717161530943048,-4.86194560064046,4.86194560064046,315
h4,21,52,1.1712299585342407,1.171716031348326,-4.860728140851922,4.860728140851922,1.173159956932068,1.1733650635279018,-2.0510659583372615,2.0510659583372615,1.170330047607422,1.1701646660938132,1.6538151360889763,1.6538151360889763,1.1726900339126587,1.1712360947702047,14.539391424539527,14.539391424539527,316
h4,21,53,1.1726900339126587,1.1712359730741062,14.540608385524845,14.540608385524845,1.1741700172424316,1.1730057483086274,11.6426893380428,11.6426893380428,1.1726800203323364,1.170504123654856,21.758966774805266,21.758966774805266,1.1731300354003906,1.17269617779816,4.338576022306917,4.338576022306917,317
h4,21,54,1.1730400323867798,1.1726960559503528,3.4397643642702924,3.4397643642702924,1.1734299659729004,1.1743462187051124,-9.16252732211964,9.16252732211964,1.1721800565719604,1.1729953480685544,-8.15291496593984,8.15291496593984,1.1726800203323364,1.1731361815911203,-4.561612587838937,4.561612587838937,318
h4,21,55,1.1726700067520142,1.173046056221798,-3.7604946978375686,3.7604946978375686,1.1735399961471558,1.1734258224803509,1.1417366680488428,1.1417366680488428,1.1722700595855713,1.1719663009243624,3.0375866120890826,3.0375866120890826,1.1733900308609009,1.1726861641653752,7.0386669552569,7.0386669552569,319
h4,21,56,1.1734100580215454,1.172676028686864,7.340293346813631,7.340293346813631,1.1744099855422974,1.173487807362587,9.22178179710409,9.22178179710409,1.1716099977493286,1.1720896964058594,-4.796986565307471,4.796986565307471,1.1737099885940552,1.1733961784137832,3.138101802719895,3.138101802719895,320
h4,21,57,1.1737099885940552,1.1734160837567318,2.939048373233888,2.939048373233888,1.1770800352096558,1.1744930061394545,25.87029070201252,25.87029070201252,1.173609972000122,1.1715292354982558,20.807365018662427,20.807365018662427,1.176949977874756,1.1737161378232404,32.33840051515724,32.33840051515724,321
h4,21,58,1.176949977874756,1.173716015869455,32.339620053010165,32.339620053010165,1.1774400472640991,1.177384964319431,0.550829446681611,0.550829446681611,1.17507004737854,1.1739447495418085,11.252978367315425,11.252978367315425,1.1758099794387815,1.1769561440786935,-11.461646399120173,11.461646399120173,322
h4,21,59,1.175819993019104,1.1769560217882589,-11.36028769154862,11.36028769154862,1.1772700548171997,1.1773913461848764,-1.2129136767669024,1.2129136767669024,1.1757899522781372,1.1752366152569145,5.533370212227329,5.533370212227329,1.176010012626648,1.1758161396701097,1.9387295653827685,1.9387295653827685,323
h4,21,60,1.1760799884796145,1.1758260311298705,2.5395734974398287,2.5395734974398287,1.176609992980957,1.177064804624248,-4.5481164329097545,4.5481164329097545,1.1757299900054932,1.175663515081676,0.6647492381706144,0.6647492381706144,1.1761900186538696,1.1760161739059776,1.7384474789206017,1.7384474789206017,324
h4,21,61,1.1762100458145142,1.176086027925518,1.2401788899607524,1.2401788899607524,1.1786799430847168,1.1765269077182403,21.530353664764856,21.530353664764856,1.1757800579071045,1.1755173041665825,2.6275374052198153,2.6275374052198153,1.1776700019836426,1.1761961808762758,14.73821107366824,14.73821107366824,325
h4,21,62,1.1776700019836426,1.1762160859282929,14.539160553497243,14.539160553497243,1.1803699731826782,1.1790269961667494,13.429770159287813,13.429770159287813,1.1773600578308103,1.1757425270894704,16.175307413399675,16.175307413399675,1.1794899702072144,1.1776761719598865,18.13798247327858,18.13798247327858,326
h4,21,63,1.1794999837875366,1.177676049594638,18.23934192898724,18.23934192898724,1.182129979133606,1.1805894743335634,15.405048000425303,15.405048000425303,1.1789300441741943,1.17761054512745,13.194990467444434,13.194990467444434,1.180459976196289,1.1794961497185237,9.638264777653838,9.638264777653838,327
h4,21,64,1.1804399490356443,1.1795060407959166,9.33908239727721,9.33908239727721,1.1871600151062012,1.182117853356391,50.42161749810204,50.42161749810204,1.1803900003433228,1.1790914001577515,12.986001855712637,12.986001855712637,1.1864299774169922,1.180466160789594,59.638166273980886,59.638166273980886,328
h4,21,65,1.18641996383667,1.180446010870966,59.7395296570391,59.7395296570391,1.1878299713134766,1.187525836680048,3.041346334284878,3.041346334284878,1.185789942741394,1.1803716588017386,54.18283939655488,54.18283939655488,1.186619997024536,1.1864361932879604,1.838037365755607,1.838037365755607,329
h4,21,66,1.1857999563217163,1.1864260563807665,-6.26100059050172,6.26100059050172,1.1872999668121338,1.1877831523115094,-4.83185499375649,4.83185499375649,1.185610055923462,1.1861869565721443,-5.769006486824324,5.769006486824324,1.1858199834823608,1.1866262138910433,-8.062304086824401,8.062304086824401,330
